iter	MultiClass
0	3.474255399
1	3.436699892
2	3.413750655
3	3.39414879
4	3.372403654
5	3.353613308
6	3.326876877
7	3.304812428
8	3.28837488
9	3.267718693
10	3.250649817
11	3.233307227
12	3.213017521
13	3.196557595
14	3.179012622
15	3.155967693
16	3.135023771
17	3.120335939
18	3.10216372
19	3.089305235
20	3.07643978
21	3.062767734
22	3.042808758
23	3.027596643
24	3.014690515
25	2.999703486
26	2.987125692
27	2.970806802
28	2.958480429
29	2.942872458
30	2.928311636
31	2.912169511
32	2.9018606
33	2.886100055
34	2.873068918
35	2.861411052
36	2.850923079
37	2.838982404
38	2.825971162
39	2.815842244
40	2.80628978
41	2.797269781
42	2.786095041
43	2.776818923
44	2.768431961
45	2.757777903
46	2.748758313
47	2.740084952
48	2.730194326
49	2.720871525
50	2.712208172
51	2.703876149
52	2.694557722
53	2.685985718
54	2.676777837
55	2.667497448
56	2.66053787
57	2.650455433
58	2.640514236
59	2.633481775
60	2.625727261
61	2.617775242
62	2.61068984
63	2.602253314
64	2.595136312
65	2.587619581
66	2.580635769
67	2.573758057
68	2.567362629
69	2.560767497
70	2.554390026
71	2.548453435
72	2.542226737
73	2.53406849
74	2.526405443
75	2.520221873
76	2.514247789
77	2.508146937
78	2.501560413
79	2.494547908
80	2.488233372
81	2.481374823
82	2.475266385
83	2.469704512
84	2.463903594
85	2.458795954
86	2.453080917
87	2.447146281
88	2.441389602
89	2.43647576
90	2.430799993
91	2.424616985
92	2.419949165
93	2.414892509
94	2.40977154
95	2.404787933
96	2.399850965
97	2.394650477
98	2.38945728
99	2.38507159
100	2.380446837
101	2.375838541
102	2.371489471
103	2.36647483
104	2.3619247
105	2.357414553
106	2.352859266
107	2.348713874
108	2.344828741
109	2.340813136
110	2.336958876
111	2.333062826
112	2.329243226
113	2.325081223
114	2.320536361
115	2.316862987
116	2.313344044
117	2.309624515
118	2.305381999
119	2.301288548
120	2.297362517
121	2.29346859
122	2.289343922
123	2.285634028
124	2.282161577
125	2.278281599
126	2.274589326
127	2.271240492
128	2.268005644
129	2.264815019
130	2.261693221
131	2.257867065
132	2.254005607
133	2.25065229
134	2.246915129
135	2.243310813
136	2.240386446
137	2.236902351
138	2.233746506
139	2.230362891
140	2.227366218
141	2.224502666
142	2.221460004
143	2.21847689
144	2.215679005
145	2.212853242
146	2.210067617
147	2.206496345
148	2.20318626
149	2.200096526
150	2.197286981
151	2.194606065
152	2.191539477
153	2.188785311
154	2.185515773
155	2.182463074
156	2.179545503
157	2.177047796
158	2.17425977
159	2.171660121
160	2.169175967
161	2.16622691
162	2.163543651
163	2.160911137
164	2.157646153
165	2.154423726
166	2.151667405
167	2.148906849
168	2.146513278
169	2.143879071
170	2.141438754
171	2.139144848
172	2.136752688
173	2.13378367
174	2.131441745
175	2.129059581
176	2.126614629
177	2.124267054
178	2.12210256
179	2.119820759
