iter	Passed	Remaining
0	28	28244
1	33	16939
2	61	20496
3	89	22329
4	105	20962
5	133	22183
6	161	22931
7	177	21988
8	205	22580
9	220	21841
10	248	22361
11	276	22794
12	305	23161
13	333	23471
14	361	23716
15	376	23162
16	385	22305
17	414	22608
18	430	22205
19	458	22451
20	487	22705
21	515	22909
22	520	22127
23	548	22324
24	577	22505
25	592	22189
26	620	22356
27	648	22515
28	676	22650
29	685	22164
30	694	21717
31	700	21193
32	730	21418
33	734	20880
34	765	21096
35	793	21236
36	821	21385
37	849	21505
38	859	21177
39	887	21299
40	915	21410
41	943	21517
42	971	21615
43	999	21719
44	1027	21814
45	1055	21893
46	1083	21973
47	1112	22056
48	1139	22123
49	1155	21951
50	1183	22017
51	1211	22079
52	1239	22140
53	1267	22202
54	1276	21931
55	1304	21985
56	1331	22035
57	1337	21724
58	1341	21393
59	1369	21452
60	1397	21510
61	1425	21566
62	1453	21619
63	1462	21391
64	1491	21447
65	1519	21496
66	1546	21536
67	1574	21580
68	1602	21621
69	1630	21665
70	1658	21701
71	1686	21735
72	1715	21780
73	1724	21577
74	1729	21336
75	1758	21378
76	1773	21262
77	1801	21294
78	1830	21334
79	1839	21152
80	1854	21045
81	1860	20829
82	1888	20867
83	1916	20903
84	1932	20805
85	1961	20845
86	1970	20679
87	1986	20586
88	2002	20494
89	2030	20530
90	2058	20563
91	2067	20408
92	2095	20437
93	2123	20467
94	2129	20284
95	2157	20313
96	2185	20345
97	2212	20367
98	2241	20397
99	2269	20428
100	2298	20455
101	2325	20477
102	2340	20386
103	2368	20408
104	2397	20433
105	2425	20454
106	2440	20371
107	2456	20285
108	2484	20305
109	2511	20323
110	2539	20341
111	2567	20356
112	2595	20373
113	2600	20214
114	2616	20133
115	2643	20147
116	2671	20164
117	2699	20178
118	2705	20028
119	2736	20068
120	2765	20088
121	2793	20100
122	2820	20112
123	2848	20122
124	2876	20132
125	2881	19990
126	2909	20002
127	2937	20012
128	2966	20031
129	2995	20044
130	3023	20056
131	3051	20065
132	3060	19950
133	3075	19877
134	3103	19888
135	3113	19777
136	3141	19788
137	3145	19645
138	3173	19658
139	3202	19669
140	3230	19680
141	3246	19614
142	3261	19548
143	3289	19556
144	3317	19563
145	3345	19569
146	3373	19577
147	3403	19590
148	3431	19598
149	3459	19603
150	3487	19610
151	3515	19614
152	3543	19619
153	3547	19488
154	3563	19424
155	3591	19428
156	3618	19430
157	3646	19432
158	3674	19437
159	3705	19454
160	3716	19366
161	3746	19377
162	3774	19383
163	3802	19383
164	3831	19389
165	3846	19325
166	3874	19326
167	3902	19329
168	3930	19325
169	3939	19232
170	3966	19231
171	3975	19139
172	4004	19142
173	4032	19143
174	4048	19085
175	4057	18996
176	4062	18891
177	4090	18889
178	4118	18889
179	4146	18889
